species,body_mass,body_length,temperature,habitat_binary,locomotion_3state,diet_5state,parental_care_binary,resource_use_polymorphic,offspring_count,success_count,trial_count
Sp01,12.4,8.2,22.1,terrestrial,walking,herbivore,absent,fruit,0,2,10
Sp02,15.8,9.4,24.8,aquatic,swimming,carnivore,absent,seed,2,3,15
Sp03,21.1,10.1,19.3,terrestrial,flying,omnivore,present,insect,1,0,12
Sp04,19.6,8.9,27.2,aquatic,walking,insectivore,present,fruit+seed,3,5,20
Sp05,35.2,13.5,21.6,terrestrial,swimming,frugivore,absent,fruit+insect,1,6,18
Sp06,31.7,12.7,25.4,aquatic,flying,herbivore,absent,insect+seed,4,4,20
Sp07,65.3,17.2,18.7,terrestrial,walking,carnivore,present,fruit+insect+seed,2,8,25
Sp08,72.8,16.4,29.1,aquatic,swimming,omnivore,present,fruit,5,10,22
Sp09,81.4,19.6,23.5,terrestrial,flying,insectivore,absent,seed,3,9,20
Sp10,76.9,18.1,20.8,aquatic,walking,frugivore,absent,insect,4,11,24
Sp11,44.2,14.8,26.3,terrestrial,swimming,herbivore,present,fruit+seed,2,7,16
Sp12,52.6,15.2,17.9,aquatic,flying,carnivore,present,fruit+insect,0,8,20
Sp13,28.3,11.6,28.6,terrestrial,walking,omnivore,absent,insect+seed,1,6,15
Sp14,91.5,21.4,22.7,aquatic,swimming,insectivore,absent,fruit+insect+seed,6,15,25
Sp15,105.7,22.3,24.2,terrestrial,flying,frugivore,present,fruit,5,20,20
Sp16,58.9,16.8,30.4,aquatic,walking,herbivore,present,seed,3,12,24
Sp17,39.4,13.1,19.8,terrestrial,swimming,carnivore,absent,insect,2,8,18
Sp18,67.1,18.6,25.9,aquatic,flying,omnivore,absent,fruit+seed,4,13,26
Sp19,88.6,20.2,21.3,terrestrial,walking,insectivore,present,fruit+insect,7,14,22
